name	condition	replicate	intensity
CA4	m_wt	736	26.172646027499212
ALDOC	m_wt	736	31.84703718457929
NP_001230868	m_wt	736	NA
TRAP1	m_wt	736	NA
RPL3	m_wt	736	27.42558408680447
XP_020924121	m_wt	736	26.823230777318116
NP_001230997	m_wt	736	26.608512928431086
RPS11	m_wt	736	26.361920756104563
EIF3L	m_wt	736	26.962346041316714
XP_020927726	m_wt	736	25.88408851836202
GNPDA1	m_wt	736	24.421239944320472
RBMXL1	m_wt	736	24.455005068183763
TBCD	m_wt	736	NA
RPS10-NUDT3	m_wt	736	25.140319912535553
SYAP1	m_wt	736	NA
SYAP1.1	m_wt	736	NA
FGB	m_wt	736	30.567286689655223
IKBIP	m_wt	736	NA
SERPINH1	m_wt	736	29.497146706108502
NP_001231066	m_wt	736	27.106893558509075
SRI	m_wt	736	27.177881639279327
SSR3	m_wt	736	NA
COPS3	m_wt	736	24.153986752842048
TAGLN	m_wt	736	29.25977224401945
PSMC1	m_wt	736	26.273394245353312
NUP93	m_wt	736	NA
MDH2	m_wt	736	30.20151340098762
SCARB2	m_wt	736	24.670660570835512
FKBP3	m_wt	736	NA
DHRS7	m_wt	736	29.301711048819573
SERPINB10	m_wt	736	NA
SORD	m_wt	736	26.432752911402044
DNAJA1	m_wt	736	24.427327679779236
MTCH1	m_wt	736	NA
CHCHD3	m_wt	736	24.695458129970508
CCT3	m_wt	736	27.99415443583543
RCN2	m_wt	736	25.6898184386784
PEX3	m_wt	736	NA
XP_003125211	m_wt	736	31.383964265623764
NP_001231142	m_wt	736	26.88355260327764
SNX6	m_wt	736	25.704087696136725
RBM14	m_wt	736	22.49533684777621
EIF4EBP1	m_wt	736	NA
RGCC	m_wt	736	24.98884553439742
XP_020947945	m_wt	736	27.939044417990466
ARHGDIB	m_wt	736	25.926351921818817
NUDT21	m_wt	736	NA
PTER	m_wt	736	25.159656109092175
RAB5C	m_wt	736	26.39362088812061
LAMP2	m_wt	736	23.6943425824488
ME3	m_wt	736	NA
RARS	m_wt	736	25.960844751694808
EFEMP1	m_wt	736	26.08778313855477
LNPK	m_wt	736	24.47432188000941
ITGA2	m_wt	736	NA
TXNL1	m_wt	736	27.02400859956226
C1QB	m_wt	736	24.8044958029754
XP_020949253	m_wt	736	NA
TGIF1	m_wt	736	NA
IPO5	m_wt	736	26.47870988638671
NOP56	m_wt	736	NA
NP_001231236	m_wt	736	24.455757647773538
NAP1L1	m_wt	736	26.467901275518734
XP_005660263	m_wt	736	26.300511483729125
CRLF3	m_wt	736	23.412867510871738
NEFL	m_wt	736	NA
GAP43	m_wt	736	NA
PIGS	m_wt	736	NA
PTP4A2	m_wt	736	NA
NIT2	m_wt	736	27.528429190414823
TMEM33	m_wt	736	23.716386602621245
ADPRH	m_wt	736	NA
CMBL	m_wt	736	NA
PSMB1	m_wt	736	26.83195238599111
SEC61A1	m_wt	736	25.619636999982042
SMTN	m_wt	736	NA
PIN1	m_wt	736	NA
PRXL2A	m_wt	736	28.96711000556339
THRSP	m_wt	736	28.49453597553003
GHITM	m_wt	736	NA
NAPA	m_wt	736	26.403471345830916
PPID	m_wt	736	24.620755888700206
TPD52	m_wt	736	24.26527852367145
SCCPDH	m_wt	736	NA
SGTA	m_wt	736	NA
SBDS	m_wt	736	25.98217909602761
GFAP	m_wt	736	NA
PDHB	m_wt	736	28.797301840175933
ETFA	m_wt	736	27.950325128800248
PPP6C	m_wt	736	NA
HMOX2	m_wt	736	NA
SDCBP	m_wt	736	23.01610911705546
BCAS2	m_wt	736	NA
CLIC2	m_wt	736	24.19565455694933
DNAJB1	m_wt	736	NA
XP_005666120	m_wt	736	28.992993769210468
XP_020944209	m_wt	736	NA
PLP2	m_wt	736	27.229310247815544
RHOA	m_wt	736	28.409933732660228
FAM49B	m_wt	736	NA
NSFL1C	m_wt	736	26.069440916816493
NME3	m_wt	736	27.265350069955325
AP2S1	m_wt	736	NA
PSMB4	m_wt	736	NA
GMFB	m_wt	736	25.511653739148958
ALDH5A1	m_wt	736	23.742525728061974
PSMA4	m_wt	736	27.1308482906608
MYL9	m_wt	736	25.820214417801058
IGF2R	m_wt	736	NA
PRDX2	m_wt	736	31.464411480285456
DERL1	m_wt	736	23.879889073187236
PTPRA	m_wt	736	NA
NUCB1	m_wt	736	23.790743025190608
BZW1	m_wt	736	24.319275749573407
GLUD1	m_wt	736	27.92467679087957
XP_020935235	m_wt	736	NA
DAZAP1	m_wt	736	23.778362728797468
XP_020946851	m_wt	736	26.05653766780214
